7000,83.247750000,0,0,0, 6940.106877645916,10,conn-1
7000,98.043600000,0,0,0, 6943.962224845497,20,conn-1
7000,106.942780000,0,0,0, 6940.106877645916,30,conn-1
7000,112.702030000,0,0,0, 6937.6994588594425,40,conn-1
7000,115.559550000,0,0,0, 6940.106877645916,50,conn-1
7000,118.466980000,0,0,0, 6938.180808991882,60,conn-1
7000,110.202790000,0,0,0, 6943.962224845497,70,conn-1
7000,103.719810000,0,0,0, 6938.6622259228425,80,conn-1
7000,122.447190000,0,0,0, 6939.625260235947,90,conn-1
7000,100.951670000,0,0,0, 6943.480072212193,100,conn-1
5000,136.693082500,0,0,0, 4928.293332019121,10,conn-4
5000,180.980411666,0,0,0, 4909.180166912126,10,conn-6
5000,259.519065000,0,0,0, 4118.107317876704,10,conn-8
5000,511.898930000,0,0,0, 1951.9812609798946,10,conn-15
