7000,0,1569.610450000,0,0, 634.0832424480686,10,conn-1
7000,0,1267.538280000,0,0, 783.7297699753125,20,conn-1
7000,0,1948.424630000,0,0, 511.23176180689757,30,conn-1
7000,0,1395.976760000,0,0, 712.1543380881504,40,conn-1
7000,0,1651.484520000,0,0, 602.6528779688188,50,conn-1
7000,0,2000.907950000,0,0, 497.74521417976564,60,conn-1
7000,0,999.482940000,0,0, 992.4474747174006,70,conn-1
7000,0,1723.675430000,0,0, 577.4238810968744,80,conn-1
7000,0,1681.577040000,0,0, 591.712475074112,90,conn-1
7000,0,1021.489150000,0,0, 971.0340541642795,100,conn-1
5000,0,5590.402800000,0,0, 178.59917522900878,10,conn-4
5000,0,9150.769448333,0,0, 109.15600576343711,10,conn-6
5000,0,4615.431615000,0,0, 211.8846076426778,10,conn-8
5000,0,13121.064582666,0,0, 76.02117341722017,10,conn-15
