1,681.697000000,2843.480000000,0,3547.722000000
10,6201.192500000,6115.635600000,0,12350.613400000
50,9412.303780000,13068.495940000,0,22542.814440000
100,83535.075760000,1126163.552140000,0,1209771.405040000
20,6312.976600000,7718.338250000,0,14077.812000000
30,15072.268366666,13509.008900000,0,28627.075633333
40,11939.114000000,13215.314925000,0,25205.626475000
60,34145.753800000,35278.824716666,0,69486.334533333
70,53363.460457142,58412.337485714,0,111848.383114285
80,19967.090962500,24758.169150000,0,44796.083325000
90,63967.670377777,109753.499411111,0,173807.615133333
